epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,8305.04,0.58403,0.40485,0.97334,0.83231,0.79736,0.74128,0.5513,1.02459,0.86012,1.05748,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,8388.68,0.58237,0.4111,0.97333,0.86326,0.76063,0.7794,0.58947,0.9996,0.84961,1.04002,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,8472.46,0.57063,0.40232,0.96396,0.84055,0.74097,0.76291,0.57826,1.0105,0.82206,1.04812,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,8556.05,0.57726,0.40206,0.96763,0.83932,0.74699,0.74789,0.57549,0.97847,0.83075,1.05511,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,8639.94,0.56633,0.39677,0.96928,0.82765,0.74699,0.74558,0.57105,1.0233,0.84176,1.04492,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,8723.58,0.57359,0.40178,0.96674,0.84785,0.77108,0.77302,0.58721,1.01682,0.82448,1.0468,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,8807.32,0.56763,0.3982,0.96047,0.84195,0.75502,0.77133,0.58402,1.03947,0.84319,1.08676,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,8891.02,0.57052,0.39433,0.96244,0.85407,0.75502,0.779,0.5859,0.99612,0.84528,1.0463,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,8974.82,0.55643,0.38607,0.95482,0.86744,0.76213,0.77424,0.57493,1.03316,0.82083,1.06375,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,9058.38,0.55656,0.3849,0.95301,0.84775,0.751,0.76202,0.56565,1.01023,0.82098,1.05824,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,9142.08,0.5612,0.39244,0.95517,0.84917,0.74297,0.76181,0.56179,1.00528,0.8084,1.04603,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
