epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,4460.82,0.4201,0.46107,0.26517,0.83746,0.80699,0.82552,0.64107,0.295,0.48393,0.22506,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4723.77,0.4299,0.47377,0.27278,0.83486,0.7992,0.82646,0.62888,0.31593,0.49373,0.21685,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4988.25,0.4178,0.45984,0.26515,0.89113,0.75606,0.82681,0.62425,0.3017,0.50024,0.22298,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,5252.47,0.40746,0.46127,0.25537,0.88347,0.7751,0.82874,0.61518,0.33503,0.49102,0.25099,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,5514.59,0.42692,0.46227,0.26029,0.86016,0.78313,0.82738,0.63092,0.31002,0.4885,0.21405,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,5779.81,0.41383,0.44658,0.25677,0.87768,0.80684,0.83399,0.63534,0.29859,0.48693,0.21718,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6041.02,0.40369,0.45792,0.25561,0.86198,0.7751,0.82526,0.6188,0.3281,0.46525,0.23671,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6303.34,0.41031,0.44957,0.25208,0.86268,0.78216,0.83899,0.64512,0.30001,0.47338,0.21782,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6568.79,0.38321,0.44698,0.23727,0.88245,0.79518,0.8406,0.64323,0.30492,0.46263,0.21628,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6833.1,0.40086,0.44169,0.24696,0.85585,0.77912,0.81907,0.6469,0.27823,0.50133,0.20193,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,7095.83,0.40948,0.43593,0.2473,0.90262,0.75904,0.84259,0.6445,0.29897,0.46641,0.23316,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7361.46,0.39604,0.43803,0.23016,0.89351,0.78715,0.85811,0.66152,0.27821,0.48019,0.19707,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7622.76,0.38718,0.42332,0.23244,0.90776,0.7751,0.83381,0.63202,0.3075,0.46988,0.24318,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7883.82,0.39979,0.42475,0.23212,0.87402,0.75228,0.8076,0.60371,0.31345,0.48675,0.22483,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,8146.61,0.40492,0.42824,0.24518,0.88176,0.7751,0.8111,0.63211,0.30463,0.47725,0.24081,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,8410.19,0.38975,0.42677,0.23092,0.88135,0.76305,0.79711,0.60257,0.32506,0.50032,0.23439,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,8673.09,0.38566,0.42649,0.23278,0.86475,0.77108,0.79443,0.61226,0.31359,0.49192,0.25499,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,8933.99,0.37994,0.42314,0.22512,0.85022,0.77912,0.83481,0.64129,0.30178,0.48689,0.25106,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,9198.12,0.36592,0.40707,0.22038,0.85912,0.81928,0.83711,0.64757,0.30116,0.46193,0.2593,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9462.8,0.37081,0.40867,0.2236,0.84123,0.78313,0.81747,0.61708,0.31982,0.50079,0.23099,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9725.35,0.38942,0.41418,0.23137,0.866,0.77108,0.81581,0.61637,0.33056,0.48398,0.2262,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,9989.53,0.38473,0.41132,0.22905,0.87955,0.79116,0.83383,0.6421,0.30766,0.45288,0.24147,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,10252.3,0.35387,0.39657,0.21221,0.89293,0.79116,0.83884,0.63614,0.31222,0.47343,0.26228,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,10518,0.3739,0.39768,0.21404,0.90194,0.79116,0.8523,0.6471,0.30626,0.46357,0.23427,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,10781.7,0.37439,0.40088,0.21567,0.90335,0.79116,0.82772,0.63281,0.31063,0.46965,0.25247,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,11047.2,0.36922,0.39474,0.2171,0.87903,0.78313,0.81964,0.62836,0.30164,0.49203,0.25168,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,11312,0.35314,0.39179,0.20945,0.83021,0.8051,0.81442,0.62692,0.30473,0.49596,0.27252,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,11574.7,0.34543,0.38891,0.20129,0.86632,0.78078,0.81701,0.62813,0.30964,0.49549,0.23833,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,11832,0.38825,0.39381,0.22841,0.87311,0.78313,0.81548,0.62642,0.31802,0.46883,0.27286,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,12090,0.3845,0.38901,0.21548,0.87588,0.79518,0.84053,0.64725,0.30506,0.46598,0.24174,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,12353.6,0.35616,0.38432,0.20395,0.863,0.7751,0.82844,0.64683,0.30342,0.47568,0.23674,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,12618.1,0.36648,0.38962,0.20421,0.82868,0.81591,0.81948,0.62621,0.30976,0.48509,0.2455,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,12880.8,0.35406,0.38422,0.20338,0.8483,0.80321,0.82039,0.64349,0.2943,0.48096,0.2525,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,13141,0.36393,0.38688,0.20734,0.81794,0.7751,0.77928,0.60206,0.33206,0.49679,0.29672,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,13405,0.33539,0.36967,0.19556,0.83131,0.7992,0.80212,0.62108,0.32665,0.48481,0.31004,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,13669.7,0.34804,0.37699,0.20279,0.86051,0.7992,0.81848,0.63415,0.31773,0.46596,0.28051,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
